state,code,btu_2019,2020_btu,2021
AR,REEIB,41348,44313,40232
AR,REGBP,1643,1715,1717
AR,REICB,65879,51255,51151
AR,RERCB,7968,6514,6465
AR,RETCB,132189,118123,114123
AR,RFACB,0,0,0
AR,RFCCB,0,0,0
AR,RFEIB,0,21,0
AR,RFICB,0,0,0
AR,RFTCB,0,21,0
AR,RFTXB,0,0,0
AR,SFCCB,0,0,0
AR,SFEIB,0,0,0
AR,SFINB,0,0,0
AR,SFRCB,0,0,0
AR,SFTCB,0,0,0
AR,SGICB,7402,7070,6504
AR,SNICB,293,265,248
AR,SOCCB,173,357,719
AR,SOEGB,1793,2220,3893
AR,SOGBP,112,214,224
AR,SOICB,30,229,265
AR,SORCB,258,403,772
AR,SOTCB,2254,3209,5649
AR,SOTXB,461,990,1756
AR,TEACB,288894,271194,286916
AR,TEAPB,95.6,90,94.8
AR,TECCB,180246,169891,177433
AR,TECPB,59.7,56.4,58.6
AR,TEEIB,582619,499493,548606
AR,TEICB,400654,377443,389303
AR,TEIPB,132.6,125.2,128.6
AR,TERCB,227022,216520,225967
AR,TERPB,75.1,71.8,74.6
AR,TETCB,1097181,1035335,1079088
AR,TETGR,9.37,8.83,8.75
AR,TETPB,363.2,343.5,356.4
AR,TETXB,1096817,1035048,1079619
AR,TNACB,288892,271193,286915
AR,TNCCB,105703,99606,106419
AR,TNICB,292031,271418,276907
AR,TNRCB,110160,102778,109316
AR,TNTXB,796786,744995,779557
AR,TPOPP,3021,3014,3028
AR,UOICB,656,959,216
AR,USICB,0,0,0
AR,WDCCB,998,951,878
AR,WDEIB,0,0,0
AR,WDGBP,247,217,217
AR,WDICB,64256,49471,49589
AR,WDRCB,6913,5314,4896
AR,WDTCB,72168,55736,55363
AR,WSCCB,66,34,27
AR,WSEIB,2761,2373,709
AR,WSGBP,18,18,10
AR,WSICB,1214,1184,956
AR,WSTCB,4040,3591,1693
AR,WWCCB,1063,984,906
AR,WWEIB,2761,2373,709
AR,WWICB,65470,50655,50545
AR,WWTCB,76207,59327,57056
AR,WWTXB,73447,56954,56347
AR,WXICB,130,115,148
AR,WYCCB,0,0,0
AR,WYEGB,0,0,0
AR,WYGBP,0,0,0
AR,WYICB,0,0,0
AR,WYTCB,0,0,0
AR,WYTXB,0,0,0
AR,ZWCDP,1886,1619,1800
AR,ZWHDP,3421,3160,3226
AZ,ABICB,0,0,0
AZ,ARICB,19342,17975,20278
AZ,ARTCB,19342,17975,20278
AZ,ARTXB,19342,17975,20278
AZ,AVACB,1042,923,847
AZ,AVTCB,1042,923,847
AZ,AVTXB,1042,923,847
AZ,B1ACB,0,0,0
AZ,B1TCB,0,0,0
AZ,BDACB,2224,2224,2224
AZ,BDLCB,0,0,0
AZ,BDTCB,2224,2224,2224
AZ,BFLCB,1176,0,0
AZ,BFTCB,29497,25678,28140
AZ,BMTCB,40871,35235,37237
AZ,BQICB,0,0,0
AZ,BQTCB,0,0,0
AZ,BTGBP,42,42,97
AZ,BYICB,0,0,0
AZ,BYTCB,0,0,0
AZ,CLACB,0,0,0
AZ,CLCCB,0,0,0
AZ,CLEIB,251170,150312,153948
AZ,CLGBP,3329,2943,2943
AZ,CLICB,6557,6508,6351
AZ,CLKCB,0,0,0
AZ,CLOCB,6557,6508,6351
AZ,CLRCB,0,0,0
AZ,CLTCB,257727,156821,160299
AZ,CLTXB,6557,6508,6351
AZ,COICB,0,0,0
AZ,DFACB,126670,127131,137180
AZ,DFCCB,3941,3411,5368
AZ,DFEIB,717,454,493
AZ,DFICB,29944,30394,29160
AZ,DFRCB,2,24,10
AZ,DFTCB,161273,161414,172210
AZ,DFTXB,160556,160959,171718
AZ,DKEIB,717,454,493
AZ,DMTCB,156461,156173,169739
AZ,ELEXB,10,11,12
AZ,ELGBP,26792,27115,27596
AZ,ELIMB,0,0,0
AZ,ELISB,-302489,-216040,-215725
AZ,ELNIB,-10,-11,-12
AZ,EMACB,24777,22093,24566
AZ,EMCCB,675,685,696
AZ,EMICB,645,676,653
AZ,EMLCB,1176,0,0
AZ,EMTCB,26097,23454,25916
AZ,EQICB,0,0,0
AZ,EQTCB,0,0,0
AZ,ESACB,38,39,36
AZ,ESCCB,100365,99385,102326
AZ,ESICB,47027,48154,48072
AZ,ESRCB,118465,132070,126689
AZ,ESTCB,265894,279648,277123
AZ,ESTXB,265894,279648,277123
AZ,EYICB,0,0,0
AZ,EYTCB,0,0,0
AZ,FFGBP,17417,17135,17197
AZ,FFTCB,1349106,1214630,1251315
AZ,FNICB,0,0,0
AZ,FOICB,0,0,0
AZ,FSICB,0,0,0
AZ,GDPRV,372393.5,382072.3,420026.7
AZ,GDPRX,325395,327178,347656
AZ,GECCB,48,48,48
AZ,GEEGB,0,0,0
AZ,GEGBP,0,0,0
AZ,GEICB,247,247,247
AZ,GERCB,50,50,50
AZ,GETCB,345,345,345
AZ,GETXB,345,345,345
AZ,HLACB,388,320,557
AZ,HLCCB,3457,3381,3614
AZ,HLICB,1383,1197,1258
AZ,HLRCB,5545,5029,5101
AZ,HLTCB,10774,9927,10531
AZ,HLTXB,10774,9927,10531
AZ,HPGBP,216,216,216
AZ,HVGBP,2721,2721,2721
AZ,HYCCB,0,0,0
AZ,HYEGB,55213,56316,52824
AZ,HYICB,0,0,0
AZ,HYTCB,55213,56316,52824
AZ,HYTXB,0,0,0
AZ,IQICB,0,0,0
AZ,IQTCB,0,0,0
AZ,IYICB,0,0,0
AZ,IYTCB,0,0,0
AZ,JFACB,79145,55659,72094
AZ,JFTCB,79145,55659,72094
AZ,JFTXB,79145,55659,72094
AZ,KSCCB,0,0,1
AZ,KSICB,1,0,0
AZ,KSRCB,2,0,1
AZ,KSTCB,3,1,2
AZ,KSTXB,3,1,2
AZ,LOACB,71,69,64
AZ,LOCCB,186974,178084,181160
AZ,LOICB,87608,86285,85108
AZ,LORCB,220694,236649,224293
AZ,LOTCB,495347,501087,490624
AZ,LOTXB,495347,501087,490624
AZ,LUACB,2552,2324,2475
AZ,LUICB,1372,1381,1669
AZ,LUTCB,3924,3705,4144
AZ,LUTXB,3924,3705,4144
AZ,MBICB,0,0,0
AZ,MGACB,342124,302707,334037
AZ,MGCCB,9317,9382,9469
AZ,MGICB,8907,9267,8883
AZ,MGTCB,360348,321356,352389
AZ,MGTXB,360348,321356,352389
AZ,MMTCB,334251,297902,326472
AZ,MSICB,621,588,589
AZ,NAICB,0,0,0
AZ,NGACB,18076,18993,19303
AZ,NGCCB,35780,32468,34431
AZ,NGEIB,367765,399827,369372
AZ,NGGBP,13998,14101,14167
