,state_abv,year,Administered,Administered Janssen,Administered Moderna,Administered Pfizer,Administered Novavax,Administered Unknown,Population 2020,Population 2021,Population 2022,Population 2023,Administered % of 2020,Administered Janssen % of 2020,Administered Moderna % of 2020,Administered Pfizer % of 2020,Administered Novavax % of 2020,Administered Unknown % of 2020,Administered % of 2021,Administered Janssen % of 2021,Administered Moderna % of 2021,Administered Pfizer % of 2021,Administered Novavax % of 2021,Administered Unknown % of 2021,Administered % of 2022,Administered Janssen % of 2022,Administered Moderna % of 2022,Administered Pfizer % of 2022,Administered Novavax % of 2022,Administered Unknown % of 2022,Administered % of 2023,Administered Janssen % of 2023,Administered Moderna % of 2023,Administered Pfizer % of 2023,Administered Novavax % of 2023,Administered Unknown % of 2023
39,MA,2023,414549.0,424.0,-780618.0,-1012589.0,327.0,21.0,132956547.0,132847069.0,132672060.0,133026581.0,0.3117928446201299,0.00031890118205311094,-0.5871226484243758,-0.7615939364008905,0.0002459450154041681,1.5794634016781436e-05,0.3120497901237098,0.000319163985469638,-0.587606490588061,-0.7622215586856493,0.00024614769634097083,1.5807650223732072e-05,0.3124614180257697,0.00031958499777571853,-0.5883816080039761,-0.7632270125299931,0.00024647239215249995,1.5828502248325684e-05,0.31162869622274963,0.0003187332913562591,-0.5868135481885384,-0.7611929829272241,0.00024581553366390737,1.5786318675663777e-05
40,MD,2022,1648779.0,2797.0,548381.0,1090927.0,2759.0,3915.0,135821158.0,135850990.0,135607582.0,135965566.0,1.2139338408526896,0.0020593256906261985,0.4037522636937023,0.8032084367886186,0.0020313477227163683,0.0028824669570259444,1.2136672688215226,0.0020588734760048494,0.40366360230425996,0.803032057403483,0.002030901651876074,0.0028818339858988143,1.2158457334634873,0.002062569038359522,0.4043881558186031,0.8044734548839607,0.0020345470063760887,0.00288700671618789,1.212644530895418,0.0020571384963748835,0.40332344146605476,0.8023553551786781,0.0020291902436533086,0.0028794055106570143
41,MD,2023,307863.0,824.0,-408543.0,-797029.0,604.0,2621.0,117300091.0,117325855.0,117115639.0,117424807.0,0.2624575968999035,0.0007024717482955747,-0.34828873235912494,-0.6794785862527593,0.0005149186116147174,0.0022344398692751228,0.26239996290672674,0.0007023174900366164,-0.34821225040294823,-0.6793293771436825,0.0005148055388132479,0.0022339492007111307,0.26287095611543393,0.0007035781105203208,-0.34883727185231,-0.680548735254734,0.0005157295858668372,0.0022379590141671855,0.2621788426699309,0.0007017256583610992,-0.34791881752890597,-0.6787569171819035,0.0005143717204491552,0.002232066687578205
42,ME,2022,442622.0,717.0,147497.0,292942.0,342.0,1124.0,30019374.0,30333314.0,30565436.0,30705884.0,1.4744544639738324,0.0023884575341244626,0.49133935970816717,0.975843133837501,0.001139264263138865,0.0037442486309008306,1.4591943366293574,0.002363737770294403,0.48625415607407746,0.9657434726716639,0.001127473246081849,0.0037054968672397613,1.4481128291446588,0.0023457869208867166,0.48256141348678944,0.9584093614761457,0.0011189109162388522,0.003677356344597865,1.4414891947093917,0.0023350573460122494,0.48035418879326186,0.9540256193242962,0.0011137930437045878,0.0036605362021168318
43,ME,2023,83956.0,336.0,-117837.0,-234487.0,75.0,771.0,25925823.0,26196953.0,26397422.0,26518718.0,0.32383157132562385,0.0012960051451404262,-0.4545159472854536,-0.904453447823045,0.00028928686275455945,0.0029738689491168708,0.32048001918391045,0.0012825919105935717,-0.4498118540732581,-0.8950926468433181,0.0002862928371860651,0.0029430903662727493,0.318046209209369,0.0012728515686115107,-0.4463958639597458,-0.8882950766934741,0.0002841186537079265,0.002920739760117484,0.3165914732378843,0.001267029575109928,-0.4443540596494899,-0.8842320356511955,0.0002828191015870375,0.0029073803643147457
44,MI,2022,1948319.0,3219.0,732849.0,1209372.0,1369.0,1510.0,221553794.0,220838574.0,220732182.0,220819742.0,0.8793886869750469,0.0014529202781334452,0.330777003078539,0.5458593049415349,0.000617908624033764,0.0006815500528056857,0.882236723734686,0.0014576257859734232,0.3318482757455226,0.5476271550277263,0.00061990981702318,0.0006837573584404688,0.8826619581914883,0.0014583283555816072,0.33200822524374807,0.5478911090545012,0.0006202086109944766,0.0006840869266630092,0.882311962849771,0.0014577500955507865,0.33187657650646113,0.5476738578926517,0.0006199626843147023,0.0006838156707926957
45,MI,2023,369267.0,787.0,-560704.0,-870109.0,637.0,2421.0,191341913.0,190724223.0,190632339.0,190707959.0,0.1929880360295133,0.0004113055982669098,-0.29303773083945284,-0.45474041016826244,0.00033291190101146316,0.001265274273702908,0.1936130577393937,0.0004126376752888908,-0.2939867790154793,-0.4562131575704466,0.0003339900878767769,0.001269372060831518,0.19370637843351438,0.0004128365649439993,-0.2941284794286661,-0.45643305042802834,0.00033415106971960306,0.0012699838929217566,0.19362956949269222,0.0004126728659499733,-0.2940118508635499,-0.45625206444582633,0.00033401857129623,0.0012694803157114172
46,MN,2022,1632619.0,1872.0,466465.0,1161756.0,800.0,1726.0,125632716.0,125795296.0,125714600.0,126234130.0,1.299517396408114,0.0014900577330509992,0.37129261776048844,0.9247240981401691,0.0006367768089961535,0.0013738459654092012,1.2978378778169894,0.00148813195685791,0.37081275280754533,0.9235289688415693,0.0006359538277170555,0.0013720703832995472,1.29867095786806,0.0014890871863729432,0.37105077691851224,0.9241217806046395,0.0006363620454585227,0.0013729511130767629,1.2933261392937077,0.0014829586895398258,0.3695236779466853,0.9203184590411483,0.0006337430297178742,0.0013673005866163138
47,MN,2023,295149.0,803.0,-359075.0,-893986.0,205.0,1298.0,108500982.0,108641392.0,108571700.0,109020385.0,0.27202426610295566,0.0007400854676135558,-0.3309417052096358,-0.8239427731631037,0.00018893838214293767,0.0011963025366904052,0.2716726972717728,0.0007391289684506252,-0.33051399046875246,-0.8228778953789546,0.00018869419493446844,0.0011947564147558052,0.2718470835401859,0.0007396034141493594,-0.3307261468688434,-0.8234060993794885,0.0001888153174353906,0.0011955233269811561,0.270728267928975,0.0007365594975655242,-0.32936500820465825,-0.8200172839235526,0.00018803822789655348,0.00119060302346208
48,MO,2022,1001872.0,1503.0,344334.0,655087.0,781.0,167.0,135397372.0,135748646.0,135897696.0,136315432.0,0.7399493691797799,0.001110065858589929,0.2543136509326045,0.48382549108855677,0.000576820649074341,0.00012334065095443656,0.7380346173029232,0.0011071933638292053,0.25365556868979744,0.48257350574237035,0.0005753280220562937,0.0001230214848699117,0.7372251550166089,0.0011059790152733715,0.25337736410189027,0.48204422832893357,0.0005746970132591505,0.00012288655725259682,0.7349659428141636,0.0011025897640114582,0.2526008940792558,0.4805670131317194,0.000572935865397837,0.00012250997377905094
49,MO,2023,170202.0,434.0,-275385.0,-483365.0,300.0,95.0,116934094.0,117237467.0,117366192.0,117726964.0,0.14555378519459003,0.00037114923898927204,-0.2355044543296329,-0.41336532696785594,0.00025655477349488846,8.124234494004802e-05,0.14517713863606418,0.00037018882368040245,-0.23489504426089317,-0.41229566994994865,0.00025589089194497864,8.103211578257657e-05,0.14501791112043577,0.0003697828076419145,-0.2346374158582226,-0.4118434719258848,0.0002556102356971759,8.09432413041057e-05,0.14457350654179785,0.00036864961539312266,-0.23391837404385965,-0.410581385586398,0.0002548269230828037,8.069519230955451e-05
50,MS,2022,239516.0,1080.0,97849.0,139590.0,205.0,792.0,65084998.0,64890804.0,64656416.0,64673180.0,0.3680049279559016,0.0016593685690825402,0.15034032881125695,0.21447338755391834,0.00031497273764992666,0.0012168702839938628,0.3691062295976484,0.0016643344409787248,0.15079024140308078,0.21511522649650017,0.000315915333704295,0.001220511923384398,0.37044428815850233,0.0016703678719216357,0.15133687583301864,0.21589504744587143,0.0003170605682814216,0.0012249364394091996,0.3703482649221826,0.001669934894186431,0.15129764764930378,0.21583908507359617,0.00031697838269279476,0.0012246189224033826
51,MS,2023,59425.0,340.0,-63734.0,-82276.0,111.0,225.0,56209771.0,56042058.0,55839632.0,55854110.0,0.10572005354727383,0.0006048770417513353,-0.1133859805264106,-0.14637312790333196,0.000197474563630583,0.00040028627762956015,0.10603643427941209,0.0006066872133782096,-0.11372530252190238,-0.14681116814089873,0.00019806553142641552,0.0004014841853238152,0.1064208302805434,0.0006088865342092513,-0.11413757168027182,-0.1473433779076481,0.0001987835449918438,0.0004029396182267104,0.10639324483014767,0.0006087287041186405,-0.1141079859655807,-0.1473051848825449,0.00019873201810932087,0.000402835171843218
52,MT,2022,172192.0,531.0,61363.0,109969.0,166.0,163.0,23918642.0,24340052.0,24703316.0,24921864.0,0.719907091715324,0.0022200257021280723,0.2565488458751128,0.4597627239874237,0.0006940193343752542,0.0006814768162841352,0.7074430243616571,0.0021815894230628593,0.25210710314012474,0.45180265021619515,0.0006820034731232292,0.0006696781091511227,0.6970400249100162,0.0021495089970917265,0.24839985044922716,0.4451588604541997,0.0006719745640625737,0.0006598304454349368,0.6909274522965055,0.0021306592476389406,0.24622155068336782,0.44125511639097303,0.0006660817986969194,0.0006540441758289027
53,MT,2023,39490.0,60.0,-48306.0,-85340.0,74.0,23.0,20657009.0,21020954.0,21334682.0,21523428.0,0.19116998012635808,0.00029045831368907277,-0.2338479883510725,-0.4131285415037579,0.00035823192021652313,0.00011134235358081123,0.18786017038046893,0.00028542948145930956,-0.22979927552289015,-0.40597586579562467,0.0003520296937998152,0.000109414634559402,0.1850976733564625,0.00028123222085053813,-0.22642006100676823,-0.40000596212308204,0.0003468530723823303,0.00010780568465937295,0.18347449114518374,0.0002787660032593321,-0.22443450922408828,-0.3964981786358567,0.00034381140401984294,0.00010686030124941065
54,NC,2022,1755676.0,3075.0,637380.0,1113582.0,1393.0,246.0,229983864.0,232476200.0,235311230.0,238380802.0,0.7633909481579978,0.0013370503245392902,0.27714118239182206,0.4842000567483291,0.0006056946673441403,0.00010696402596314323,0.7552067695531844,0.0013227160457715671,0.27417000105817285,0.47900903404305467,0.0005992011225235099,0.00010581728366172537,0.746108037427708,0.0013067799611603747,0.27086680053476414,0.4732379325882577,0.0005919819466329762,0.00010454239689282997,0.7365005844724023,0.001289952871288687,0.2673789141795068,0.4671441620537882,0.000584359138115493,0.00010319622970309497
55,NC,2023,223655.0,1579.0,-520772.0,-867199.0,292.0,256.0,198622428.0,200774900.0,203223335.0,205874329.0,0.11260309434944578,0.0007949756811954791,-0.26219194138539076,-0.43660678641991024,0.0001470126022223432,0.00012888776085246526,0.11139589659862861,0.0007864528882843424,-0.25938102820621506,-0.431926002702529,0.00014543650625650916,0.00012750597808789844,0.11005379869393445,0.0007769777028804295,-0.2562560052466416,-0.42672215766954125,0.00014368428704311935,0.00012596978590081694,0.10863666251463532,0.0007669727487004948,-0.2529562585726752,-0.4212273595315519,0.0001418340991897052,0.0001243477033991936
56,ND,2022,144715.0,165.0,33828.0,110583.0,166.0,-27.0,17150386.0,17115604.0,17136064.0,17246372.0,0.8438002503267273,0.0009620774716090939,0.19724337399752984,0.6447843214724146,0.0009679082441643005,-0.00015743085899057899,0.8455150049042968,0.0009640325868721898,0.1976442081740148,0.6460946397217416,0.0009698752086108092,-0.00015775078694272196,0.844505482705947,0.0009628815578653302,0.19740822629980842,0.6453232200813442,0.0009687172036705746,-0.0001575624367415995,0.8391040156155741,0.0009567229559932953,0.19614560094146177,0.6411957251067065,0.0009625212769387092,-0.00015655466552617558
57,ND,2023,26270.0,17.0,-26603.0,-76973.0,47.0,17.0,14811697.0,14781658.0,14799328.0,14894594.0,0.17735982581874313,0.00011477415450775155,-0.17960804896292437,-0.5196771173485387,0.00031731678010966604,0.00011477415450775155,0.17772025303250824,0.00011500739632861213,-0.17997304497235697,-0.5207331951530741,0.00031796162514381,0.00011500739632861213,0.17750805982541912,0.00011487008058744289,-0.1797581619922202,-0.5201114537092495,0.0003175819875064598,0.00011487008058744289,0.17637271616802716,0.00011413537018867383,-0.1786084266546641,-0.5167848146783994,0.000315550729345157,0.00011413537018867383
