"st_abbreviation","2019","2020","2021","2022","2023","code","btu_2019","btu_2020","btu_2021"
"AL","5024294","5031864","5050380","5073903","5108468","HVGBP","3292","3292","3292"
"AL","5024294","5031864","5050380","5073903","5108468","HYCCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","HYEGB","101495","117032","101890"
"AL","5024294","5031864","5050380","5073903","5108468","HYICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","HYTCB","101495","117032","101890"
"AL","5024294","5031864","5050380","5073903","5108468","HYTXB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","IQICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","IQTCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","IYICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","IYTCB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","JFACB","12098","8775","9615"
"AL","5024294","5031864","5050380","5073903","5108468","JFTCB","12098","8775","9615"
"AL","5024294","5031864","5050380","5073903","5108468","JFTXB","12098","8775","9615"
"AL","5024294","5031864","5050380","5073903","5108468","KSCCB","14","15","11"
"AL","5024294","5031864","5050380","5073903","5108468","KSICB","13","10","16"
"AL","5024294","5031864","5050380","5073903","5108468","KSRCB","11","6","11"
"AL","5024294","5031864","5050380","5073903","5108468","KSTCB","38","30","38"
"AL","5024294","5031864","5050380","5073903","5108468","KSTXB","38","30","38"
"AL","5024294","5031864","5050380","5073903","5108468","LOACB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","LOCCB","140765","127908","132800"
"AL","5024294","5031864","5050380","5073903","5108468","LOICB","198876","184629","195487"
"AL","5024294","5031864","5050380","5073903","5108468","LORCB","197733","188076","192018"
"AL","5024294","5031864","5050380","5073903","5108468","LOTCB","537373","500612","520304"
"AL","5024294","5031864","5050380","5073903","5108468","LOTXB","537373","500612","520304"
"AL","5024294","5031864","5050380","5073903","5108468","LUACB","2554","2481","2622"
"AL","5024294","5031864","5050380","5073903","5108468","LUICB","1589","1589","1533"
"AL","5024294","5031864","5050380","5073903","5108468","LUTCB","4143","4070","4156"
"AL","5024294","5031864","5050380","5073903","5108468","LUTXB","4143","4070","4156"
"AL","5024294","5031864","5050380","5073903","5108468","MBICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","MGACB","326557","330596","375011"
"AL","5024294","5031864","5050380","5073903","5108468","MGCCB","5661","5706","5769"
"AL","5024294","5031864","5050380","5073903","5108468","MGICB","4427","4456","4391"
"AL","5024294","5031864","5050380","5073903","5108468","MGTCB","336645","340758","385172"
"AL","5024294","5031864","5050380","5073903","5108468","MGTXB","336645","340758","385172"
"AL","5024294","5031864","5050380","5073903","5108468","MMTCB","314584","319202","359723"
"AL","5024294","5031864","5050380","5073903","5108468","MSICB","2682","2541","2543"
"AL","5024294","5031864","5050380","5073903","5108468","NAICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","NGACB","24630","26290","25856"
"AL","5024294","5031864","5050380","5073903","5108468","NGCCB","25570","23603","26474"
"AL","5024294","5031864","5050380","5073903","5108468","NGEIB","430679","408613","402384"
"AL","5024294","5031864","5050380","5073903","5108468","NGGBP","14263","14299","14351"
"AL","5024294","5031864","5050380","5073903","5108468","NGICB","236381","227329","251649"
"AL","5024294","5031864","5050380","5073903","5108468","NGRCB","31472","29036","33181"
"AL","5024294","5031864","5050380","5073903","5108468","NGTCB","748731","714871","739546"
"AL","5024294","5031864","5050380","5073903","5108468","NGTPB","152.6","142.1","146.4"
"AL","5024294","5031864","5050380","5073903","5108468","NGTXB","318053","306258","337161"
"AL","5024294","5031864","5050380","5073903","5108468","NNTCB","748731","714871","739546"
"AL","5024294","5031864","5050380","5073903","5108468","NUEGB","455865","454930","480897"
"AL","5024294","5031864","5050380","5073903","5108468","NUETB","455865","454930","480897"
"AL","5024294","5031864","5050380","5073903","5108468","NUGBP","5525","5545","5453"
"AL","5024294","5031864","5050380","5073903","5108468","OHICB","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","OJGBP","20","20","4"
"AL","5024294","5031864","5050380","5073903","5108468","OMTCB","17318","16921","16360"
"AL","5024294","5031864","5050380","5073903","5108468","OPACB","0","0","2190"
"AL","5024294","5031864","5050380","5073903","5108468","OPICB","17318","16921","16360"
"AL","5024294","5031864","5050380","5073903","5108468","OPTCB","17318","16921","18550"
"AL","5024294","5031864","5050380","5073903","5108468","OPTXB","17318","16921","18550"
"AL","5024294","5031864","5050380","5073903","5108468","OTGBP","0","0","0"
"AL","5024294","5031864","5050380","5073903","5108468","P1ICB","31391","32326","31784"
"AL","5024294","5031864","5050380","5073903","5108468","P1TCB","34331","35147","36987"
"AL","5024294","5031864","5050380","5073903","5108468","P1TXB","34331","35147","36987"
"AL","5024294","5031864","5050380","5073903","5108468","PAACB","476228","471860","527787"
"AL","5024294","5031864","5050380","5073903","5108468","PACCB","12411","11715","13252"
"AL","5024294","5031864","5050380","5073903","5108468","PAEIB","167","74","211"
"AL","5024294","5031864","5050380","5073903","5108468","PAGBP","43","43","43"
"AL","5024294","5031864","5050380","5073903","5108468","PAICB","61503","63218","64145"
"AL","5024294","5031864","5050380","5073903","5108468","PARCB","6068","5822","4666"
"AL","5024294","5031864","5050380","5073903","5108468","PATCB","556377","552689","610061"
"AL","5024294","5031864","5050380","5073903","5108468","PATPB","113.4","109.8","120.8"
"AL","5024294","5031864","5050380","5073903","5108468","PATXB","556210","552615","609850"
"AL","5024294","5031864","5050380","5073903","5108468","PCCCB","0","0","0"
