,state,year,code,btu_per_person
80,NC,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15957528555611283
81,ND,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2814361573088223
82,ND,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.23203256183271911
83,ND,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.23250409392505225
84,NE,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2290438412509907
85,NE,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.21428451366671877
86,NE,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.21417760339426745
87,NH,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2504871058507874
88,NH,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.23645428816379463
89,NH,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.23495597098077542
90,NJ,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16834766222856853
91,NJ,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1654000391700437
92,NJ,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16545744362362347
93,NM,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17807818089514882
94,NM,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16725891296056433
95,NM,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16738042939134132
96,NV,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15074484227845172
97,NV,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15872541593920098
98,NV,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15717217647313064
99,NY,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16502589801567344
100,NY,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15423569899789652
101,NY,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15617920065178087
102,OH,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20008871689420357
103,OH,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19265619125208971
104,OH,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1931976323108768
105,OK,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19804334533596032
106,OK,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1859411071326434
107,OK,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1847113237335888
108,OR,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16521876421165566
109,OR,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15827138658633455
110,OR,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15784671082694207
111,PA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19214102390964152
112,PA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.18174069331968346
113,PA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.18148740234649655
114,RI,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16947231155188172
